category,n_actors,pct_eligible
AUTOMATION,25344,95.8
LEAD_GENERATION,19026,96.7
DEVELOPER_TOOLS,18771,96.0
ECOMMERCE,11024,94.6
SOCIAL_MEDIA,8766,94.7
AI,7234,88.7
OTHER,6753,96.0
BUSINESS,5055,99.2
JOBS,4853,96.4
REAL_ESTATE,4050,95.2
SEO_TOOLS,3471,95.6
AGENTS,3205,88.8
NEWS,2914,96.2
INTEGRATIONS,2574,93.4
VIDEOS,2314,94.8
TRAVEL,2011,96.6
MCP_SERVERS,1890,77.5
MARKETING,1488,98.6
EDUCATION,330,100.0
OPEN_SOURCE,272,76.5
FOR_CREATORS,218,100.0
SPORTS,162,100.0
GAMES,80,100.0
DEVELOPER_EXAMPLES,2,100.0
COVID_19,2,100.0
