category,n_actors,pct_agentic,avg_monthly_users,med_monthly_users,avg_runs_30d
AUTOMATION,31252,61.2,7.8,1.0,1510.5
LEAD_GENERATION,23605,64.1,15.6,1.0,4175.8
DEVELOPER_TOOLS,22801,65.2,5.3,1.0,1174.4
ECOMMERCE,13518,66.9,4.6,1.0,667.9
SOCIAL_MEDIA,11892,53.9,37.7,1.0,12660.2
AI,8602,66.8,13.5,1.0,2353.0
OTHER,8238,65.7,3.5,1.0,520.3
JOBS,5954,67.3,13.8,1.0,1286.9
BUSINESS,5845,88.5,1.9,1.0,77.1
REAL_ESTATE,4937,68.3,4.1,1.0,694.9
SEO_TOOLS,4224,64.2,10.8,1.0,3460.1
AGENTS,3793,65.0,6.5,1.0,1458.9
NEWS,3589,70.7,6.0,1.0,790.0
VIDEOS,3518,47.4,31.5,1.0,12057.1
INTEGRATIONS,3096,49.3,4.5,1.0,1887.4
TRAVEL,2511,64.8,23.8,1.0,8554.8
MCP_SERVERS,2182,46.6,7.4,1.0,980.7
MARKETING,1743,84.8,3.8,1.0,177.9
OPEN_SOURCE,991,18.6,39.7,1.0,3646.4
EDUCATION,373,92.8,0.8,1.0,45.0
FOR_CREATORS,236,98.7,1.5,1.0,40.6
SPORTS,185,97.8,4.9,1.0,105.5
GAMES,83,96.4,0.9,1.0,30.1
DEVELOPER_EXAMPLES,6,33.3,1.0,1.0,22.5
COVID_19,2,100.0,1.0,1.0,29.0
