username,portfolio_size,agentic_share,avg_mu,avg_builds
3x1t,15,0.2,17.8,35.93333333333333
aaravrawlley,4,0.0,1.25,2.75
accessibility_team,2,0.0,2.0,37.0
aciku,3,0.333,2.0,53.666666666666664
acme-ai,7,0.0,0.2857142857142857,10.857142857142858
actose,3,1.0,1.0,11.666666666666666
adintell,3,0.667,1.3333333333333333,14.0
ai_founder,5,0.0,0.2,48.0
aiteks.ltda,5,0.2,0.2,21.4
aitorsm,20,0.85,25.2,25.3
al_mansouri,5,0.8,1.0,9.4
alex_claw,3,0.0,2.6666666666666665,1.6666666666666667
alhemaqani111,4,0.0,0.5,1.0
alvaraaz,5,1.0,5.2,11.0
am_production,7,0.429,2.142857142857143,14.571428571428571
amats-core,2,1.0,1.0,37.5
amintouzani,4,0.0,0.75,45.75
amitmudaliyar,3,1.0,1.0,3.6666666666666665
amr-mando,8,0.75,17.625,60.75
analytics_tupiniquim,8,0.875,1.0,5.625
andinfinity,3,1.0,2.6666666666666665,13.666666666666666
antndev,5,1.0,0.8,1.8
apeye,3,1.0,1.0,5.666666666666667
api402,10,0.6,6.3,31.9
api_heros,3,1.0,0.3333333333333333,24.666666666666668
apiagent,3,0.0,0.6666666666666666,25.333333333333332
apilab,4,1.0,2.25,17.5
app.tanalytics,4,1.0,0.5,9.0
artsiom_k,10,1.0,1.1,5.1
assertive_analogy,3,0.0,0.3333333333333333,19.333333333333332
astounding_stork,2,1.0,5.5,25.0
atlas-data,16,0.0,0.875,2.5
attainable_iota,2,1.0,1.0,1.0
aulvem,2,0.0,0.0,3.5
automation-architech,2,0.0,1.5,32.5
automatyk,2,1.0,0.0,8.0
avinashchby,20,1.0,1.0,10.5
awesome_highboy,5,1.0,1.0,7.8
axel_brasil,3,1.0,1.0,10.0
azzouzana,58,0.983,23.551724137931036,50.05172413793103
badrnaseem,2,0.5,1.0,28.0
baseball,6,0.0,4.666666666666667,36.0
beacon_labs,15,0.0,0.0,1.9333333333333333
bebity,12,0.25,28.833333333333332,79.91666666666667
bendevapps,2,0.0,1.0,1.5
bigdavidson,4,0.0,37.75,2.5
bmerlyns,2,0.0,1.0,23.0
brocoswork,2,1.0,1.0,6.5
bronze_quarterback,5,0.0,0.0,7.2
broomwagon,7,1.0,1.0,6.428571428571429
canadesk,114,0.061,1.5964912280701755,29.63157894736842
cancap,8,0.25,0.875,7.0
careybrown,8,0.875,0.875,5.75
changeable_peddler,13,0.923,1.2307692307692308,8.923076923076923
charliemorrisondev,6,0.5,1.8333333333333333,10.0
chezsan770,2,0.5,1.5,3.5
citrine_venus,9,0.0,1.0,3.6666666666666665
clever_fashion,4,1.0,0.25,18.0
