agentic,event_price_usd,log_price
True,0.02,-3.912023005428146
False,0.02,-3.912023005428146
True,0.001,-6.907755278982137
False,0.501,-0.6911491778972723
True,0.005,-5.298317366548036
True,0.02,-3.912023005428146
True,0.005,-5.298317366548036
True,0.005,-5.298317366548036
True,0.02,-3.912023005428146
True,0.02,-3.912023005428146
True,0.02,-3.912023005428146
True,0.25,-1.3862943611198906
True,0.02,-3.912023005428146
True,0.0035,-5.654992310486769
True,0.02,-3.912023005428146
True,0.03,-3.506557897319982
True,0.02,-3.912023005428146
True,0.02,-3.912023005428146
True,0.02,-3.912023005428146
True,0.25,-1.3862943611198906
True,0.25,-1.3862943611198906
True,0.02,-3.912023005428146
True,0.02,-3.912023005428146
False,0.05,-2.995732273553991
True,0.25,-1.3862943611198906
True,0.001,-6.907755278982137
True,5e-05,-9.903487552536127
False,5e-05,-9.903487552536127
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.005,-5.298317366548036
False,0.002,-6.214608098422191
True,0.003,-5.809142990314028
True,0.09,-2.4079456086518722
False,0.0024,-6.032286541628237
True,0.002,-6.214608098422191
True,0.001,-6.907755278982137
True,0.005,-5.298317366548036
True,0.003,-5.809142990314028
True,0.0015,-6.502290170873972
True,5e-05,-9.903487552536127
True,0.001,-6.907755278982137
False,0.0015,-6.502290170873972
False,0.00075,-7.195437351433918
False,1e-05,-11.512925464970229
False,1e-05,-11.512925464970229
False,1e-05,-11.512925464970229
True,0.25,-1.3862943611198906
True,0.004,-5.521460917862246
True,0.001,-6.907755278982137
True,0.03,-3.506557897319982
True,0.03,-3.506557897319982
True,0.02,-3.912023005428146
True,0.004,-5.521460917862246
True,0.003,-5.809142990314028
True,0.00888,-4.7239537219780585
True,0.00199,-6.219620640245736
True,0.00599,-5.117663866854779
True,0.00299,-5.812481891579542
True,0.00199,-6.219620640245736
True,0.00199,-6.219620640245736
True,0.00199,-6.219620640245736
True,0.00199,-6.219620640245736
True,0.00199,-6.219620640245736
True,0.00199,-6.219620640245736
True,0.00199,-6.219620640245736
True,0.00799,-4.829564519203954
True,0.00199,-6.219620640245736
True,0.003,-5.809142990314028
True,0.0002,-8.517193191416238
True,0.001,-6.907755278982137
True,0.00025,-8.294049640102028
True,5e-05,-9.903487552536127
True,1e-05,-11.512925464970229
True,0.05,-2.995732273553991
False,0.0015,-6.502290170873972
True,3e-05,-10.41431317630212
False,0.0001,-9.210340371976182
False,0.2,-1.6094379124341003
True,2.8,1.0296194171811581
True,4.99,1.6074359097634274
True,2.3,0.8329091229351039
True,0.001,-6.907755278982137
False,0.03,-3.506557897319982
False,0.03,-3.506557897319982
True,0.002,-6.214608098422191
True,0.002,-6.214608098422191
True,5e-05,-9.903487552536127
True,0.1,-2.3025850929940455
True,0.1,-2.3025850929940455
True,5e-05,-9.903487552536127
True,0.015,-4.199705077879927
True,0.015,-4.199705077879927
