category,n_actors,n_agentic,n_nonagentic,pct_agentic,coef_agentic,se,p_value,significant,direction
AI,3875,2893,982,74.7,0.2091,0.0277,4.4753637147811815e-14,True,positive
SOCIAL_MEDIA,5212,3709,1503,71.2,0.171,0.0339,4.709032080560169e-07,True,positive
VIDEOS,868,585,283,67.4,0.1315,0.068,0.05314290282933789,False,positive
TRAVEL,1256,979,277,77.9,0.1266,0.053,0.017031408695643055,True,positive
REAL_ESTATE,2794,2249,545,80.5,0.0984,0.0341,0.0038766182747882725,True,positive
LEAD_GENERATION,7915,5889,2026,74.4,0.0815,0.0233,0.0004649044678213775,True,positive
AGENTS,590,415,175,70.3,0.0724,0.0547,0.18546452165988703,False,positive
BUSINESS,2269,2163,106,95.3,0.0594,0.0488,0.22370098575129072,False,positive
NEWS,1156,938,218,81.1,0.0556,0.0538,0.3010832661477799,False,positive
AUTOMATION,5757,3523,2234,61.2,0.0373,0.0226,0.09860487553297606,False,positive
SEO_TOOLS,1419,1113,306,78.4,0.0292,0.061,0.6322399942160847,False,positive
ECOMMERCE,7085,5644,1441,79.7,-0.0578,0.0249,0.020421455778377066,True,negative
DEVELOPER_TOOLS,5591,4523,1068,80.9,-0.0594,0.0263,0.023563474224009506,True,negative
OTHER,1160,970,190,83.6,-0.0752,0.0656,0.25118630255001406,False,negative
JOBS,3751,3042,709,81.1,-0.0764,0.0404,0.058666373131779255,False,negative
MCP_SERVERS,380,162,218,42.6,-0.1324,0.052,0.010830484229235382,True,negative
