category,n_actors,pct_agentic,hhi,gini
SOCIAL_MEDIA,5212,71.2,399.6,0.9574
AUTOMATION,5757,61.2,223.8,0.9047
ECOMMERCE,7085,79.7,82.6,0.8121
LEAD_GENERATION,7915,74.4,700.2,0.9508
OTHER,1160,83.6,82.4,0.6457
DEVELOPER_TOOLS,5591,80.9,95.0,0.7609
MARKETING,259,91.9,751.1,0.7399
JOBS,3751,81.1,463.6,0.9195
BUSINESS,2269,95.3,60.3,0.524
AI,3875,74.7,111.9,0.8138
MCP_SERVERS,380,42.6,652.2,0.8905
AGENTS,590,70.3,623.0,0.795
TRAVEL,1256,77.9,1740.2,0.913
INTEGRATIONS,163,62.0,667.2,0.8126
REAL_ESTATE,2794,80.5,242.6,0.7796
EDUCATION,152,97.4,112.5,0.3398
SEO_TOOLS,1419,78.4,3198.6,0.9387
SPORTS,128,100.0,510.4,0.7347
VIDEOS,868,67.4,1536.7,0.9506
NEWS,1156,81.1,302.2,0.7798
GAMES,58,94.8,296.0,0.3391
