category,n,mean_mu,share_total_users,within_theil
SOCIAL_MEDIA,5212,56.04,41.53,3.9733
AUTOMATION,5757,7.63,6.25,3.3101
ECOMMERCE,7085,4.52,4.56,2.1953
LEAD_GENERATION,7915,19.69,22.16,4.5742
OTHER,1160,1.84,0.3,1.1552
DEVELOPER_TOOLS,5591,2.98,2.37,2.1216
MARKETING,259,2.99,0.11,1.689
JOBS,3751,15.07,8.04,3.5718
BUSINESS,2269,1.49,0.48,1.0417
AI,3875,3.17,1.74,2.2593
MCP_SERVERS,380,0.91,0.05,2.2512
AGENTS,590,2.86,0.24,2.1096
TRAVEL,1256,11.77,2.1,3.6429
INTEGRATIONS,163,5.28,0.12,1.6158
REAL_ESTATE,2794,4.44,1.76,1.9949
FOR_CREATORS,16,1.06,0.0,0.5718
EDUCATION,152,0.88,0.02,0.3682
SEO_TOOLS,1419,18.65,3.76,4.4227
SPORTS,128,3.93,0.07,1.1677
VIDEOS,868,30.84,3.81,3.772
NEWS,1156,3.13,0.51,2.0418
GAMES,58,0.88,0.01,0.368
COVID_19,2,1.0,0.0,0.0
OPEN_SOURCE,5,0.8,0.0,0.2231
