category,n_actors,n_agentic,n_nonagentic,pct_agentic,coef_agentic,se,p_value
AI,7095,5379,1716,75.8,0.3054,0.022,8.399534905748548e-44
AGENTS,3131,2302,829,73.5,0.2916,0.0337,5.225993601121933e-18
SOCIAL_MEDIA,8782,5836,2946,66.5,0.1958,0.025,4.556994784992471e-15
MCP_SERVERS,1818,852,966,46.9,0.1578,0.055,0.00409489107924211
VIDEOS,2210,1461,749,66.1,0.1306,0.0487,0.007319058130590678
TRAVEL,1939,1429,510,73.7,0.128,0.0422,0.0024423782131503366
REAL_ESTATE,3957,3046,911,77.0,0.1238,0.028,9.69422234507208e-06
OPEN_SOURCE,266,173,93,65.0,0.0973,0.094,0.3006060899402385
BUSINESS,4879,4623,256,94.8,0.0905,0.035,0.00970795491795733
SEO_TOOLS,3287,2428,859,73.9,0.0603,0.0371,0.1044484572931276
LEAD_GENERATION,18614,13741,4873,73.8,0.0549,0.0152,0.00030127677108944913
AUTOMATION,25030,17945,7085,71.7,0.0464,0.0113,3.853627393125932e-05
NEWS,2815,2323,492,82.5,0.0438,0.0417,0.2933735580198322
ECOMMERCE,10697,8333,2364,77.9,0.0094,0.0186,0.6118776228332541
DEVELOPER_TOOLS,18159,13672,4487,75.3,-0.0201,0.0141,0.15198003612303992
JOBS,4673,3606,1067,77.2,-0.0272,0.0341,0.4256016950779381
MARKETING,1428,1292,136,90.5,-0.0653,0.0798,0.41342161965283863
OTHER,6511,4940,1571,75.9,-0.1442,0.0263,4.1206004048330284e-08
INTEGRATIONS,2519,1420,1099,56.4,-0.278,0.0406,7.361998894646146e-12
